enthrallments	enthrall @@ment @@s
detassel	de @@tassel
flinted	flint @@ed
strawberry	straw @@berry
antihypertriglyceridemic	anti @@hyper @@tri @@glyco @@emia @@ic
bullytrees	bullytree @@s
Magyarabs	Magyarab @@s
rebatch	re @@batch
rebatement	rebate @@ment
sidescrolling	side @@scroll @@ing
proletarianised	proletarianise @@ed
addax	addax
storytellers	story @@tell @@er @@s
guanidinium	guanidine @@ium
chyliferous	chyle @@ferous
ostensions	ostension @@s
greedily	greed @@y @@ly
bisacromial	bis @@acromion @@al
kleptoparasited	klepto @@parasite @@ed
decentraliser	decentre @@al @@ise @@er
thromboresistance	thrombo @@resist @@ance
aeroduct	aero @@duct
checkstand	check @@stand
futchels	futchel @@s
reacculturate	re @@acculture @@ate
dusmatovite	dusmatovite
disadventurous	dis @@adventure @@ous
inexhaustedly	in @@exhaust @@ed @@ly
pentas	penta @@s
nerineids	nerineid @@s
detachably	detach @@able @@ly
spokespersons	spokesperson @@s
endophragmal	endo @@phragma @@al
stuntwoman	stunt @@woman
kinfolk	kin @@folk
mottled	mottle @@ed
beltfish	belt @@fish
warmed-over	warm @@ed @@over
paucities	paucity @@s
cyberpunters	cyber @@punt @@er @@s
oxalan	oxalan
ditrigonal	di @@trigon @@al
darkles	dark @@le @@s
Harrison	Harrison
binman	bin @@man
chlorethoxybutamoxane	chlorethoxybutamoxane
taranakite	taranakite
almadie	almadie
wopspeak	wop @@speak
hauntedly	haunt @@ed @@ly
singleplex	single @@plex
chaoosh	chaoosh
beslipper	be @@slip @@er
fireflied	fire @@fly @@ed
informationism	in @@form @@ation @@ism
prediagnostically	pre @@diagnostic @@ally
cisvestites	cisvestite @@s
ISFPs	ISFP @@s
rubberizer	rub @@er @@ize @@er
symmetry	syn @@metry
unresearchable	un @@re @@search @@able
antitheorems	anti @@theorem @@s
visualize	vision @@ual @@ize
ineffectualness	in @@effectual @@ness
everybody	everybody
noninbred	non @@in @@bred
remorphize	re @@morphize
megastudios	mega @@studio @@s
entombs	entomb @@s
semifrozen	semi @@freeze @@en
chemolithotrophs	chemolithotroph @@s
nonmiraculous	non @@miracle @@ous
cann't	can @@n't
desexualizations	de @@sex @@ual @@ization @@s
perk	perk
decolourises	de @@colour @@ise @@s
multicrystal	multi @@crystal
tenderors	tend @@er @@or @@s
anticharities	anti @@charity @@s
heteroplates	hetero @@plate @@s
plackets	placket @@s
microplanetoid	micro @@planet @@oid
retrained	re @@train @@ed
meriter	merit @@er
druggability	drug @@ability
plenishment	plenish @@ment
mechanicks	mechanick @@s
auditability	audit @@ability
smooths	smooth @@s
overinterprets	over @@interpret @@s
vaginaed	vagina @@ed
weeds	wee @@ed @@s
metaphrasts	metaphrast @@s
handgift	handgive @@t
apophysitis	apophysitis
telebooths	tele @@booth @@s
respersed	resperse @@ed
terzetto	terzetto
antimeter	anti @@meter
5-hydroxytryptamine	5 @@hydroxy @@tryptamine
præcentors	præcentor @@s
Orangies	Orangie @@s
whings	whing @@s
paederastic	paederastic
anharmonicities	anharmony @@ic @@ity @@s
hoisteth	hoist @@eth
swarter	swart @@er
durmast	durmast
helmetshrike	helm @@et @@shrike
seismosaurus	seismosaurus
opacated	opacate @@ed
untrunking	un @@trunk @@ing
posteroventromedial	postero @@ventro @@media @@al
romanting	romant @@ing
spas	spas
marterns	martern @@s
pneumococcosis	pneumo @@coccosis
backreefs	back @@reef @@s
criminalized	crime @@al @@ize @@ed
seahorses	sea @@horse @@s
banterers	banter @@er @@s
undetached	un @@detach @@ed
stercoliths	stercolith @@s
invulgared	invulgar @@ed
pushovers	push @@over @@s
brewfest	brew @@fest
McCanless	McCan @@less
iodoformizes	iodo @@form @@ize @@s
yeppity	yeppity
poltergeistism	poltergeism @@ism
swellies	swelly @@s
punji	punji
recrewing	re @@crew @@ing
abayas	abaya @@s
premating	pre @@mate @@ing
bedirty	be @@dirt @@y
chukkars	chukkar @@s
televersities	televersity @@s
multispecialist	multi @@special @@ist
vulvodynia	vulvo @@dynia
Tripura	Tripura
achooed	achoo @@ed
Tosh	Tosh
forlatting	for @@lat @@ing
subumbrella	subumbrella
Singerian	Singer @@ian
amateurization	amateur @@ization
streptothricins	streptothricin @@s
borrelia	borrelia
deconverts	de @@convert @@s
nonfuel	non @@fuel
rat-baiting	rat @@bait @@ing
scrivenership	scrive @@en @@er @@ship
cornlands	corn @@land @@s
reencrypt	re @@en @@crypt
Tigris	Tigris
super-delegate	super @@delegate
desiering	desier @@ing
crystallophones	crystallophone @@s
polymorphonucleate	poly @@morpho @@nucleus @@ate
placentotrophy	placento @@trophy
hutments	hut @@ment @@s
Zunians	Zunian @@s
underdragged	under @@drag @@ed
multipane	multi @@pane
reoccasion	re @@occasion
celliferous	celliferous
warpfields	warp @@field @@s
monochromatized	monochromatize @@ed
unpunctually	un @@punctual @@ly
altisonant	altisonant
pickerelweeds	pickerelweed @@s
demijohn	demi @@john
gulpers	gulp @@er @@s
guideboards	guide @@board @@s
hydromancy	hydro @@mancy
winterhardy	winter @@hard @@y
peirameter	peira @@meter
supratrimer	supra @@tri @@mer
Qadeshtu	Qadeshtu
coconutty	co @@conut @@y
Seoulite	Seoul @@ite
acuminates	acuminate @@s
Frederikshavn	Frederikshavn
indolently	indolent @@ly
responsal	response @@al
intercommunications	inter @@communicate @@ion @@s
interseasonal	inter @@season @@al
stubtails	stub @@tail @@s
postapnea	post @@apnea
bolty	bolt @@y
weighable	weigh @@able
Abkhazian	Abkhaz @@ian
Djolof	Djolof
Isaurians	Isaur @@ian @@s
wingfish	wing @@fish
WTGs	WTG @@s
emulously	emulous @@ly
recommunicates	re @@communicate @@s
cephalosomes	cephalo @@some @@s
gladiates	gladiate @@s
neumorphism	neumorphism
whisting	whist @@ing
organomercurials	organo @@mercury @@al @@s
admiralship	admiral @@ship
fivesomes	five @@some @@s
deuteragonists	deuteragonist @@s
metasurfaces	meta @@surface @@s
sleepshirt	sleep @@shirt
dumfounders	dumfounder @@s
moorband	moor @@band
skeletalization	skeleton @@al @@ization
calcitrant	calcitrant
unslings	un @@sling @@s
libellist	libell @@ist
mouselet	mouse @@let
swiften	swift @@en
drifter	drift @@er
allocyclic	allo @@cycle @@ic
tenericutes	tenericute @@s
biosemiotics	bio @@semiotic @@s
periaxially	peri @@axis @@al @@ly
regrettest	regret @@est
EDFAs	EDFA @@s
fame-ish	fame @@ish
inga	inga
gaudinesses	gaud @@y @@ness @@s
reconfigured	re @@configure @@ed
tipsify	tip @@y @@fy
pedallings	pedalling @@s
binaphthol	binaphthol
coagulabilities	coagulate @@ability @@s
ceporex	ceporex
individuates	individuate @@s
tenderpreneur	tend @@er @@preneur
addictionologists	addict @@ion @@ology @@ist @@s
shotshells	shot @@shell @@s
nonlight	non @@light
underexpanded	under @@expand @@ed
depurinized	de @@purinize @@ed
zygodactyls	zygo @@dactyl @@s
locksteps	lock @@step @@s
exeat	exeat
reinjected	re @@inject @@ed
sempervives	sempervive @@s
cattail	cat @@tail
denailing	de @@nail @@ing
stetsons	stetson @@s
charangas	charanga @@s
prebendaryships	prebend @@ary @@ship @@s
lumbalizations	lumbal @@ization @@s
ampakines	ampakine @@s
hoistaway	hoist @@a @@way
puffadders	puffadder @@s
gout	gout
guajes	guaje @@s
extrachorions	extrachorion @@s
respidered	respider @@ed
slashing	slash @@ing
inbending	in @@bend @@ing
nonchains	non @@chain @@s
Gelasius	Gelasius
underbellies	under @@belly @@s
spieling	spiel @@ing
membas	memba @@s
fatless	fat @@less
slavest	slave @@est
reincreased	re @@increase @@ed
feasing	fease @@ing
bodywork	body @@work
Falstaffian	Falstaffian
magnetological	magnet @@ology @@ical
Rhydyfelin	Rhydyfelin
protectorate	protect @@or @@ate
seachange	seachange
hydrohetaerolite	hydrohetaerolite
Paez	Paez
depersonalises	de @@personalise @@s
corrumped	corrump @@ed
kayagums	kayagum @@s
nonpsychosis	non @@psycho @@osis
gunstick	gun @@stick
pinkeyes	pinkeye @@s
shigatoxins	shigatoxin @@s
mastocytosis	masto @@cyte @@osis
rebellious	rebellious
Ricks	Ricks
pseudonymizer	pseudo @@onym @@ize @@er
androcidal	andro @@cide @@al
rhythmometer	rhythmo @@meter
post-transistor	post @@transistor
palatinates	palatin @@ate @@s
endues	endue @@s
temporize	tempora @@ize
favoredness	favor @@ed @@ness
talegalla	talegalla
intratubal	intra @@tube @@al
Saint-Dominguan	Saint @@Dominguan
transcriptomically	transcriptomic @@ally
screwpress	screw @@press
metallophores	metallo @@phore @@s
prominent	prominent
unconfrontational	un @@con @@front @@ation @@al
lemurids	lemurid @@s
empts	empt @@s
ichnocoenosis	ichno @@coenosis
hornify	horn @@y @@fy
daven	daven
Perlish	Perl @@ish
fabber	fab @@er
strouts	strout @@s
polacs	polac @@s
ectoparasitoid	ectoparasite @@oid
yoctoamp	yocto @@amp
heaths	heath @@s
ethnoprimatological	ethno @@primate @@ology @@ical
boltered	bolter @@ed
uncommitted	un @@commit @@ed
Nasarees	Nasaree @@s
teresa	teresa
gunating	gunate @@ing
solveth	solve @@eth
metalworks	metal @@work @@s
endow	endow
photophysicist	photo @@physic @@s @@ist
pulsimeters	pulse @@meter @@s
tonsillitides	tonsil @@itis @@s
casuistic	casuism @@istic
Bason	Bason
scaleboards	scale @@board @@s
nonmassage	non @@massage
dassn't	dass @@n't
Sharland	Sharland
furipterids	furipterid @@s
marsupialize	marsupium @@al @@ize
gratingness	grate @@ing @@ness
Latics	Latics
untidied	un @@tide @@ed
jazznik	jazznik
toastees	toast @@ee @@s
chaetotaxies	chaeto @@taxy @@s
scapiform	scapiform
yagis	yagi @@s
rephrasing	re @@phrase @@ing
paleolatitudes	paleo @@latitude @@s
Sellar	Sellar
retains	retain @@s
electroneutralizing	electro @@neutral @@ize @@ing
ambrosin	ambrosin
magnetionic	magnetion @@ic
radiopagers	radio @@page @@er @@s
concertion	concertion
definitiveness	definitive @@ness
Proto-Afroasiatic	Proto @@Afroasias @@ic
ginlike	gin @@like
suctorially	suctorial @@ly
twocks	twock @@s
ongoingness	on @@go @@ing @@ness
counterdefinitions	counter @@define @@tion @@s
slakers	slake @@er @@s
methanofurans	methano @@furfural @@an @@s
oligomerizing	oligo @@mer @@ize @@ing
beadmaker	beadmaker
scroungers	scrounger @@s
parastronaut	para @@stro @@naut
hashbrownies	hash @@brown @@y @@s
johnny	john @@y
swamphens	swamphen @@s
restabilizing	re @@stable @@ize @@ing
overstable	over @@stable
attolitre	atto @@litre
Syuejia	Syuejia
graithed	graith @@ed
capsulises	capsule @@ise @@s
onloads	on @@load @@s
pretargeting	pre @@targe @@et @@ing
unhelped	un @@help @@ed
deoxidants	de @@oxidant @@s
yamaskitic	yamaskite @@ic
marginalize	margin @@al @@ize
arcticization	arctic @@ization
Vopo	Vopo
quasifield	quasi @@field
archlector	arch @@lect @@or
barian	bary @@an
hermandad	hermandad
pudends	pudend @@s
genotoxic	geno @@toxic
biomelanin	bio @@melanin
monodimensionally	mono @@dimension @@al @@ly
behavioreme	be @@havior @@eme
unnervingly	un @@nerve @@ing @@ly
algorithmicize	algorithm @@ic @@ize
megadose	mega @@dose
notory	notory
repronounced	re @@pronounce @@ed
upmost	up @@most
unroofs	un @@roof @@s
fanega	fanega
kinsmanship	kinsman @@ship
heteroserotype	hetero @@sero @@type
bolillo	bolillo
acromelalgia	acro @@melalgia
wayworn	way @@worn
selfied	self @@y @@ed
rookier	rook @@y @@er
wheelsman	wheel @@s @@man
beghasting	be @@ghaste @@ing
deenergizes	de @@energy @@ize @@s
situating	situate @@ing
Beaver	Beaver
crenellating	crenellate @@ing
echocardiologic	echo @@cardio @@logy @@ic
guides	guide @@s
elastographic	elasto @@graphy @@ic
wordes	worde @@s
hennaing	henna @@ing
enewed	enew @@ed
temporonasal	temporo @@nasal
Linlithgowshire	Linlithgow @@shire
tyrosis	tyro @@osis
honeycombing	hon @@y @@comb @@ing
paynize	payn @@ize
lithosomes	litho @@some @@s
superpositive	super @@positive
soirée	soirée
octodontids	octodontid @@s
ultrasexist	ultra @@sex @@ist
deacetylating	de @@acetyl @@ate @@ing
geocontainers	geo @@contain @@er @@s
departeth	depart @@eth
pearliest	pearl @@y @@est
underattenuations	under @@attenuate @@ion @@s
arundinoids	arundinoid @@s
blabberers	blabber @@er @@s
uptrending	up @@trend @@ing
metaconstitutions	meta @@constitute @@ion @@s
campylobacters	campylobacter @@s
trottest	trot @@est
molded	mold @@ed
myoviruses	myovirus @@s
Lotito	Lotito
quickeners	quick @@en @@er @@s
beater	beat @@er
bufotenine	bufotenine
shuddersome	shudder @@some
rackets	racket @@s
liedertafels	liedertafel @@s
physiognomies	physiognomy @@s
cryptoprocessing	crypto @@process @@ing
parsings	parsing @@s
safeners	safen @@er @@s
reupgrade	reupgrade
fussbudgetry	fussbudget @@ry
lifesprings	life @@spring @@s
lynches	lynch @@s
Kasparovian	Kasparovian
Chaurasias	Chaurasia @@s
Moesogothic	Moesogoth @@ic
prespliceosomal	pre @@spliceo @@some @@al
micropiezometers	micro @@piezo @@meter @@s
miscure	mis @@cure
navel-gaze	nave @@l @@gaze
aircraftlike	air @@craft @@like
interstapedial	inter @@stapedial
yttrialite	yttrialite
homoepitaxial	homo @@epitaxy @@al
fractographs	fractograph @@s
threitols	threitol @@s
secretogranins	secretogranin @@s
unpsychological	un @@psycho @@logy @@ical
muni	muni
Portes	Portes
naplessness	nap @@less @@ness
Thessalonica	Thessalonica
mesogaster	meso @@gaster
xings	xing @@s
levocetirizine	levo @@cetirizine
execute	execute
yaggers	yagger @@s
anaemics	anaemia @@ic @@s
decanterful	decanter @@ful
markettings	marketting @@s
lithologic	litho @@logy @@ic
pneumotonometry	pneumo @@tono @@metry
preblow	pre @@blow
Kitty Hawker	Kitty Hawk @@er
downmodulating	down @@module @@ate @@ing
untelephoned	un @@telephon @@ed
photocathodes	photo @@cat @@hode @@s
ethylic	ethyl @@ic
quicas	quica @@s
chaklis	chakli @@s
precisions	precision @@s
hennishly	hen @@ish @@ly
postdysenteric	post @@dysenteric
obfusticating	obfusticate @@ing
surnaming	sur @@name @@ing
overanxieties	over @@anxious @@ity @@s
slurpability	slurp @@ability
spearmanship	spear @@man @@ship
nondiscovery	non @@dis @@cover @@y
sevir	sevir
pavises	pavise @@s
bioresuspension	bio @@resuspensio @@n
annalled	annal @@ed
miniblotter	mini @@blot @@er
Caycean	Caycean
birostrate	bi @@rostrum @@ate
licitness	licit @@ness
desisted	desist @@ed
nipperkins	nip @@er @@kin @@s
ethnostate	ethno @@state
radiodiagnostics	radio @@diagnostic @@s
cothurnus	cothurnus
interior	interior
troglobites	troglobite @@s
myelomagenesis	myelo @@magenesis
bombards	bombard @@s
arousingly	a @@rouse @@ing @@ly
premorbidity	pre @@morbid @@ity
nonphysicists	non @@physic @@s @@ist @@s
uninterred	un @@inter @@ed
janitor	janitor
enchondroma	enchondroma
enskinments	en @@skin @@ment @@s
malleableize	malleable @@ize
badmouth	bad @@mouth
codeword	code @@word
polycot	polycot
dams	dam @@s
untape	un @@tape
prestomal	pre @@stome @@al
restitutively	restitute @@ive @@ly
monoacrylate	mono @@acrolein @@yl @@ate
cognosced	cognosce @@ed
antigene	anti @@gene
divinours	diva @@nour @@s
becries	be @@cry @@s
jargonelle	jargonelle
shinings	shining @@s
will've	will @@'ve
declinated	declinate @@ed
easties	east @@y @@s
ozoned	ozone @@ed
prepack	pre @@pack
Quito	Quito
spences	spence @@s
pervertism	pervert @@ism
hydropillar	hydro @@pillar
allostatically	allo @@stasis @@ic @@ally
fossildom	fossil @@dom
ringholes	ring @@hole @@s
dadoed	dado @@ed
injudicial	injudicial
angon	angon
Yule	Yule
superfolding	super @@fold @@ing
jeopardising	jeopardise @@ing
flouteth	flout @@eth
zoukifying	zouk @@ify @@ing
spitting	spit @@ing
povitica	povitica
unbundled	un @@bundle @@ed
counterpoised	counter @@poise @@ed
plantal	plant @@al
rupial	rupium @@al
biodeteriorating	bio @@deteriorate @@ing
nephroscleroses	nephro @@sclerosis @@s
mateyness	mate @@y @@ness
sausagemaker	sausage @@make @@er
pleurocoel	pleuro @@coel
copter	copter
myal	myo @@al
misconvergence	mis @@converge @@ence
marriers	marry @@er @@s
layerize	lay @@er @@ize
artistamps	artistamp @@s
El	El
reavails	re @@avail @@s
scoparin	scoparin
photoantennas	photo @@antenna @@s
fade-away	fade @@a @@way
gravitated	gravitate @@ed
undeceiving	un @@deceive @@ing
poolrooms	pool @@room @@s
screenspace	screen @@space
mambrinos	mambrino @@s
warbleflies	warble @@fly @@s
nannify	nannify
stapler	staple @@er
Cosmo	Cosmo
asphyxial	asphyxy @@al
carpools	car @@pool @@s
femtoinjection	femto @@inject @@ion
dipterocarp	diptero @@carp
recorporealizing	re @@corporeal @@ize @@ing
Suir	Suir
mandibulated	mandibulate @@ed
cheths	cheth @@s
poppycocks	poppycock @@s
interoceptively	inter @@oceive @@ly
skinny	skin @@y
coroner	coron @@er
thrifty	thrive @@ty
nonosmium	non @@osmium
superadministrators	super @@administrate @@or @@s
uninhumed	un @@inhume @@ed
turmerol	turmerol
kraals	kraal @@s
protectest	protect @@est
mercaptopurines	mercaptopurine @@s
glidants	glidant @@s
prettysome	pretty @@some
subschematics	sub @@schema @@ic @@s
sleepwear	sleep @@wear
swellness	swell @@ness
descabellos	descabello @@s
nanobarrier	nano @@bar @@y @@er
Kantist	Kant @@ist
coralberry	coral @@berry
seaplanes	seaplane @@s
emanatists	emanate @@ist @@s
describe	describe
tumbaga	tumbaga
embraids	em @@braid @@s
Scotchman	Scotch @@man
hemicatenane	hemi @@catenane
parsnips	parsnip @@s
norcorydine	nor @@corydine
jauntings	jaunting @@s
zestfully	zest @@ful @@ly
enrobers	en @@robe @@er @@s
jalpaite	jalpaite
memorializer	memory @@al @@ize @@er
psychodids	psychodid @@s
Bosniak	Bosniak
unsedimented	un @@sediment @@ed
gossipfests	gossip @@fest @@s
ecoepidemiologically	eco @@epidemiology @@ical @@ly
refragable	refragable
alcometers	alcometer @@s
autozero	auto @@zero
ETFs	ETF @@s
skimps	skimp @@s
writhled	writh @@le @@ed
unbucklings	unbuck @@ling @@s
mismailed	mis @@mail @@ed
Gomorrans	Gomorra @@an @@s
grotesquerie	grotesquerie
epigenome	epi @@gene @@ome
paleohabitats	paleo @@habitat @@s
greyishness	grey @@ish @@ness
conferrences	confer @@ence @@s
postcataclysmic	post @@cataclysm @@ic
Ibada	Ibada
Causey	Causey
seniorship	senior @@ship
cycloalkyne	cyclo @@alkyne
neuromyopathies	neuro @@myo @@pathy @@s
kamut	kamut
Aban	Aban
milktree	milk @@tree
paged	page @@ed
CHUIs	CHU @@s
euhydrated	eu @@hydrate @@ed
methylenimines	methylenimine @@s
notosuchians	notosuchian @@s
straightsplain	straight @@splain
overnets	over @@net @@s
transactionally	transact @@ion @@al @@ly
traduction	traduce @@t @@ion
pseudoscorpion	pseudo @@scorpion
prevaileth	prevail @@eth
Pentyrch	Pentyrch
lifebuoy	life @@buoy
butterboxes	butterbox @@s
microinsult	micro @@insult
sinlessly	sin @@less @@ly
hematoblasts	hemato @@blast @@s
destatization	de @@state @@ization
decury	decury
vanadylian	vanadylian
Asiarchs	Asiarch @@s
purposivism	purpose @@ive @@ism
Malaccans	Malaccan @@s
humanising	human @@ise @@ing
woodcrafted	wood @@craft @@ed
huskanaw	huskanaw
grousest	grouse @@est
undo	un @@do
noncomestible	non @@comestible
europous	europous
nonmammalian	non @@mammalian
multisection	multi @@section
downside	down @@side
hasslers	hassle @@er @@s
sporophylls	sporo @@phyll @@s
desserty	dessert @@y
dictatorially	dictator @@ial @@ly
mellowing	mellow @@ing
ecotopes	eco @@tope @@s
cradleside	cradle @@side
summered	sum @@er @@ed
Marsala	Marsala
unpassing	un @@pass @@ing
veratrate	veratrate
shritch	shritch
crotons	croton @@s
karrenfeld	karren @@feld
transbians	trans @@bian @@s
mirrortree	mirror @@tree
panéing	pané @@ing
pacts	pact @@s
antimulticulturalism	anti @@multi @@culture @@al @@ism
piloerecting	pilo @@erect @@ing
comeasurability	co @@measure @@ability
creepshot	creep @@shot
uncheerfully	un @@cheer @@ful @@ly
semicones	semi @@cone @@s
estoppel	estoppel
bandages	band @@age @@s
fulldoing	full @@do @@ing
biocalcarenites	biocalcarenite @@s
Fridays	Friday @@s
electrodiesels	electro @@di @@esel @@s
needle	needle
legitimatises	legitimatise @@s
attristing	attrist @@ing
melees	melee @@s
subtechnical	sub @@technical
discovertures	dis @@coverture @@s
organoactinide	organo @@actin @@ide
wotting	wot @@ing
unspirits	un @@spirit @@s
Kwanzaa	Kwanzaa
selachian	selachian
élite	élite
prefectship	prefect @@ship
vitrifiable	vitrify @@able
