enthrallments	enthrallment @@s
sackcloths	sack @@cloth @@s
crosstracks	cross @@track @@s
Uto-Aztecan	Uto @@Azteca @@an
lobar	lobe @@ar
mealman	meal @@man
myths	myth @@s
renovicted	renovict @@ed
unhungry	un @@hunger @@y
thimbleriggers	thumb @@le @@rig @@er @@s
deprehension	deprehension
pre-teach	pre @@teach
boatless	boat @@less
metacognition	meta @@cognition
cembranes	cembrane @@s
rollbags	roll @@bag @@s
celibate	celibate
rhizopathy	rhizo @@pathy
intermonomer	inter @@mono @@mer
zoosanitary	zoo @@sanitary
flashily	flash @@y @@ly
cotransduction	co @@transduce @@ion
Neo-Lamarckism	Neo @@Lamarck @@ism
superoinferior	super @@o @@inferior
internasals	inter @@nasal @@s
beleaguring	be @@leagure @@ing
holoflavodoxins	holo @@flavodoxin @@s
Swati	Swati
gearstick	gear @@stick
basely	base @@ly
rottweillers	rottweiller @@s
weakino	weakino
graveward	grave @@ward
topspins	top @@spin @@s
tjaty	tjaty
perselenide	per @@selenium @@ide
aralias	aralia @@s
hyperextendable	hyper @@extend @@able
phantasized	phantasy @@ize @@ed
cocomposition	co @@composite @@ion
bedouin	bedouin
myelocoeles	myelocoele @@s
traped	trape @@ed
freshwoman	fresh @@woman
tumesces	tumesce @@s
ecoawareness	eco @@a @@ware @@ness
endosonographist	endo @@sonography @@ist
thysanids	thysanid @@s
squawkiest	squawk @@y @@est
ketidic	ketidic
crossbedding	cross @@bed @@ing
buttresslike	buttress @@like
gefilte	gefilte
circulationism	circulate @@ion @@ism
radiotelemeters	radio @@telemeter @@s
copyfraud	copy @@fraud
waterbikes	water @@bike @@s
neoechinorhynchids	neoechinorhynchid @@s
technicalization	technical @@ize @@ation
Syrianising	Syria @@an @@ise @@ing
globalize	globe @@al @@ize
kippas	kippa @@s
idiopathy	idio @@pathy
encenillo	encenillo
backative	back @@ative
enfoldeth	en @@fold @@eth
Lententide	Lententide
discovers	dis @@cover @@s
antisuperhero	anti @@super @@hero
oversensitiveness	over @@sensitive @@ness
hemiparesis	hemi @@paresis
denitrifying	de @@nitro @@ify @@ing
pluralistic	plural @@istic
enantiodromias	enantiodromia @@s
unquantifiableness	un @@quantity @@fy @@able @@ness
urologies	uro @@logy @@s
pathetizer	pathetize @@er
cruorins	cruor @@in @@s
megalerg	mega @@lerg
Senner	Senner
rubulavirus	rubulavirus
Ruggles	Ruggles
gonys	gony @@s
Furugawa	Furugawa
vaccinoid	vaccine @@oid
annulet	annulet
vegetally	vegetal @@ly
adequacy	adequate @@cy
sunglass	sun @@glass
microvibratomes	micro @@vibrate @@ome @@s
affriended	affriend @@ed
onsetting	on @@set @@ing
cohabitee	cohabit @@ee
harbored	harbor @@ed
Niven	Niven
uteral	uteral
marrings	mar @@ing @@s
decrying	decry @@ing
bloomaries	bloomary @@s
dorsalising	dorsalise @@ing
oreodontids	oreodontid @@s
thalamocorticostriatal	thalamo @@cortico @@stria @@al
unrelative	un @@relate @@ive
Svan	Svan
perfluorooctyl	perfluoro @@octo @@ane @@yl
lentectomize	lentectomy @@ize
boondock	boon @@dock
Stasiak	Stasiak
autolimnetic	auto @@limnetic
nonadherences	non @@adhere @@ence @@s
hyalomin	hyalomin
hypoattenuating	hypo @@attenuate @@ing
gravity-darkened	grave @@ity @@darken @@ed
trancer	trance @@er
bioentity	bio @@entity
prom-goer	prom @@go @@er
deported	deport @@ed
rodenticides	rodent @@cide @@s
perceptualized	percept @@al @@ize @@ed
quietless	quiet @@less
papistical	papism @@ist @@ical
sproutier	sproutier
Vietnamisations	Vietnam @@isation @@s
metanetworks	meta @@net @@work @@s
strumectomy	struma @@ectomy
recombustion	re @@combust @@ion
Nicolosi	Nicolosi
endobasidial	endo @@basidial
spearfisher	spear @@fish @@er
godown	godown
hiccoughs	hiccough @@s
peroxyls	per @@oxy @@yl @@s
steganograms	steganogram @@s
prosocialists	pro @@social @@ist @@s
distastefulness	dis @@taste @@ful @@ness
showpieces	show @@piece @@s
Ukrainianized	Ukraine @@ian @@ize @@ed
agisting	agist @@ing
maxillopods	maxillopod @@s
unbespeaks	un @@be @@speak @@s
magsman	magsman
boggler	boggle @@er
rechilled	re @@chill @@ed
demonymic	demonym @@ic
cyberwhores	cyber @@whore @@s
parlousness	parlous @@ness
linkbacks	link @@back @@s
loamer	loam @@er
withness	with @@ness
paraphyletically	para @@phyletic @@ally
agrodiversity	agro @@diverse @@ity
helminthagogues	helminthagogue @@s
faithes	fay @@th @@s
thornshrubs	thornshrub @@s
undrivable	un @@drive @@able
springhaas	springhaa @@s
obley	obley
yeards	yeard @@s
microculture	micro @@culture
Römertopf	Römertopf
postpetiolar	post @@petiole @@ar
sextate	sextate
pratītyasamutpāda	pratÃtyasamutpāda
Quadrantid	Quadrantid
opifice	opifice
desynchronise	de @@synchrony @@ise
distichoporines	distichoporine @@s
hackspaces	hack @@space @@s
gastropodous	gastropod @@ous
geonarrative	geo @@narrate @@ive
boondoggling	boondoggle @@ing
whewellite	whewellite
evensongs	eve @@n @@song @@s
Oroqens	Oroqen @@s
reinitiate	re @@initiate
chronoamperometries	chronoamperometry @@s
nexum	nexum
couponless	coupon @@less
kerbstone	kerb @@stone
clubzine	club @@zine
antijitter	anti @@jit @@er
isopod	iso @@pod
Sikh	Sikh
Whangarei	Whangarei
noologists	noology @@ist @@s
superspy	super @@spy
gametogenetic	gameto @@gene @@ic
pyrindene	pyrindene
osculum	osculum
gilling	gill @@ing
countertransports	counter @@transport @@s
soundomes	soundome @@s
sighingly	sigh @@ing @@ly
dimethylimidazole	di @@methyl @@imidazole
anachronistic	anachrony @@ist @@ic
elucidatorily	elucidate @@ory @@ly
hillclimbing	hill @@climb @@ing
nicheless	niche @@less
monostotic	mono @@stotic
Everlark	Everlark
crunchable	crunch @@able
Serbdom	Serb @@dom
Ishmaelitish	Ishmaelite @@ish
zoogeographic	zoo @@geography @@ic
epicanthus	epicanthus
frickle	frickle
linkering	link @@er @@ing
orphanity	orphanity
attamed	attam @@ed
antitheatre	anti @@theatre
jerkwaters	jerk @@water @@s
cometographies	cometo @@graphy @@s
blowup	blowup
unpack	un @@pack
Samlandic	Samland @@ic
samosa	samosa
forestalling	fore @@stall @@ing
susurrates	susurrate @@s
galaxies	galaxy @@s
nondyslipidaemic	non @@dyslipidaemic
boffolas	boffola @@s
Fenni	Fenni
clawed	claw @@ed
chromovitrectomy	chromo @@vitreous @@ectomy
cornstick	corn @@stick
Arellano	Arellano
duodecimally	duodecimal @@ly
nyctosaurids	nyctosaurid @@s
lamniforms	lamniform @@s
culturability	culture @@ability
accessorists	access @@or @@ist @@s
arbitrated	arbitrate @@ed
frondesces	frondesce @@s
peerless	pee @@er @@less
multiselection	multi @@select @@ion
Wesleyanising	Wesley @@an @@ise @@ing
overduplicate	over @@duplicate
cyberfinance	cyber @@finance
amitotically	amitosis @@ic @@ally
antipeptone	anti @@peptone
latests	latest @@s
hierarchs	hierarch @@s
musings	muse @@ing @@s
sacbes	sacbe @@s
glitten	glitten
neurotoxicities	neuro @@toxic @@ity @@s
misguess	mis @@guess
nihils	nihil @@s
seamanlike	sea @@man @@like
dynamises	dynamise @@s
supergroupie	super @@group @@ie
allocentric	allo @@centric
bisallene	bis @@allene
mamma	mamma
ogs	og @@s
pleonastically	pleonastic @@ally
giblis	gibli @@s
vatrushka	vatrushka
paleoendemism	paleo @@endemic @@ism
Porscha	Porscha
turpins	turpin @@s
museum	museum
unjustices	un @@justice @@s
upholdatory	up @@holdatory
feldwebels	feldwebel @@s
natrophosphate	natro @@phosphate
stereomonoscope	stereo @@mono @@scope
massers	mass @@er @@s
tinplating	tinplate @@ing
nontheoretically	non @@theoretic @@ally
pentamirror	penta @@mirror
bois	boi @@s
otomastoiditis	oto @@mastoid @@itis
Panjabiness	Panjabi @@ness
bladderworts	bladder @@wort @@s
prorating	pro @@rate @@ing
rubiretin	rubiretin
arbitrally	arbitral @@ly
spammy	spam @@y
chantresses	chant @@er @@ess @@s
agrophysical	agro @@physic @@s @@al
yankers	yanker @@s
topotype	topo @@type
dandyfying	dandyfy @@ing
sacralizes	sacrum @@al @@ize @@s
wheezings	wheezing @@s
paradegoers	parade @@go @@er @@s
isogarcinol	iso @@garcinol
towzier	towzy @@er
deflationism	deflate @@ion @@ism
awhaping	awhape @@ing
flavorizer	flavor @@ize @@er
unvisarded	un @@visard @@ed
cytocompatible	cyto @@compatible
adeonids	adeonid @@s
wedcasts	wed @@cast @@s
ultrarapid	ultra @@rapid
quirpele	quirpele
ushing	ush @@ing
tenacles	tenacle @@s
unlinkability	un @@link @@ability
tantalizer	tantalize @@er
inventor	invent @@or
vaingloriousness	vainglory @@ous @@ness
dana	dana
premigrational	pre @@migrate @@ion @@al
transependymal	trans @@ependyma @@al
quietude	quietude
butthurt	butt @@hurt
Clarkey	Clarkey
perukers	peruke @@er @@s
adultocentric	adulto @@centric
Amanar	Amanar
bisexuality	bi @@sex @@ual @@ity
spatializer	spatial @@ize @@er
chalker	chalk @@er
squoppers	squop @@er @@s
spelch	spelch
upsells	up @@sell @@s
benzoyls	benzene @@oic @@yl @@s
Moresques	Moresque @@s
biocalcified	bio @@calcify @@ed
nonrodents	non @@rodent @@s
antiharassment	anti @@harass @@ment
tentaculocyst	tentacle @@o @@cyst
Turingery	Turingery
caninizations	canine @@ization @@s
Germanist	German @@ist
photodarlington	photo @@darlington
Minasyan	Minasyan
casualization	casual @@ization
affrightening	a @@fright @@en @@ing
mongrelity	mong @@rel @@ity
academizing	academy @@ize @@ing
cytobionts	cyto @@biont @@s
fascistizing	fascism @@ist @@ize @@ing
lygaeids	lygaeid @@s
glimmed	glim @@ed
eriptychiids	eriptychiid @@s
wankish	wank @@ish
Celano	Celano
poriness	pore @@y @@ness
ombrophile	ombro @@phile
picramates	picramic @@ate @@s
antilynching	anti @@lynch @@ing
Bernadetta	Bernadetta
barfis	barfi @@s
tardier	tardy @@er
urotergites	urotergite @@s
yarest	yare @@est
intervenee	intervenee
platygasterids	platygasterid @@s
booklands	book @@land @@s
lycopsids	lycopsid @@s
razee	raze @@ee
beaverkins	beaver @@kin @@s
stogies	stogy @@s
stridulating	stridulate @@ing
lumbang	lumbang
nesiote	nesiote
teatards	teatard @@s
birdness	bird @@ness
contested	contest @@ed
showstoppers	showstop @@er @@s
nautilites	nautile @@ite @@s
econopolitics	econo @@politic @@s
detachability	detach @@ability
unsnare	un @@snare
cytolethality	cyto @@lethal @@ity
overprovoking	over @@provoke @@ing
LGBs	LGB @@s
cicatrization	cicatrize @@ation
unmeshed	un @@mesh @@ed
Jew-free	Jew @@free
intratumor	intra @@tumor
discardables	discard @@able @@s
resorter	re @@sort @@er
throughcare	through @@care
tribarium	tri @@baryta @@ium
tricarboxylic	tri @@carboxyl @@ic
munches	munch @@s
macks	mack @@s
bowenite	bowenite
postcounts	post @@count @@s
Hermesian	Hermes @@ian
padrones	padrone @@s
hypermineralised	hyper @@mineralise @@ed
turpeth	turp @@eth
yabbled	yabble @@ed
prevasectomy	pre @@vas @@ectomy
paraliterature	para @@literature
diaphanometer	diaphanometer
spikenails	spike @@nail @@s
arteriole	arteriole
photoperturbations	photo @@perturbate @@ion @@s
unliberalized	un @@liberalize @@ed
eye-roll	eye @@roll
vincristines	vincristine @@s
unattachments	un @@attach @@ment @@s
translabyrinthine	trans @@labyrinth @@ine
unmiscegenated	un @@miscegenate @@ed
mattenesses	matte @@ness @@s
Kartveli	Kartveli
phonewise	phone @@wise
volatilising	volatile @@ise @@ing
birdfeed	bird @@feed
UCAVs	UCAV @@s
Zoroastrianism	Zoroaster @@ian @@ism
dienofuges	di @@enofuge @@s
tachometric	tachy @@o @@metric
sciencey	science @@y
Rocketshipper	Rocket @@ship @@er
tonguefucker	tongue @@fuck @@er
Clintonist	Clinton @@ist
noirs	noir @@s
snogging	snog @@ing
electrotonic	electro @@tone @@ic
adonise	adonise
schadenfreude	schadenfreude
oligofluorenes	oligo @@fluorene @@s
radiumed	radium @@ed
phocaceans	phocacean @@s
preëmpted	preëmpt @@ed
familiarize	familiar @@ize
supplest	supple @@est
Isaksen	Isaksen
retroconverted	retro @@convert @@ed
marginalistic	margin @@al @@istic
souveniers	souvenier @@s
starfishing	star @@fish @@ing
intricating	intricate @@ing
uncreates	un @@create @@s
neuroradiographic	neuro @@radio @@graphy @@ic
scenarised	scenarise @@ed
paraboson	para @@boson
dollified	doll @@ify @@ed
chameck	chameck
Dickeson	Dick @@son
subrepeat	sub @@repeat
foordite	foordite
phosphogalactoisomerase	phospho @@galactoisomerase
sibred	sibre @@ed
fantiques	fantique @@s
spyesses	spy @@ess @@s
ouphs	ouph @@s
melodiousness	melody @@ous @@ness
libelle	libelle
cromlech	cromlech
harumphed	harumph @@ed
electropulsing	electro @@pulse @@ing
squidding	squid @@ing
durectomy	dura @@ectomy
axinellids	axinellid @@s
sexable	sex @@able
harvest	harve @@est
hysteretically	hysteretic @@ally
glycomutated	glyco @@mutate @@ed
curassows	curassow @@s
codetermining	co @@determine @@ing
viscounty	viscount @@y
dusted	dust @@ed
uninephrectomizes	uni @@nephro @@ectomy @@ize @@s
jitting	jit @@ing
dodecarchies	dodeca @@archy @@s
huqqas	huqqa @@s
transformances	trans @@form @@ance @@s
narangis	narangi @@s
weeaboos	weeaboo @@s
exocytotoxic	exo @@cyto @@toxic
crystallisers	crystal @@ise @@er @@s
contumaciously	contumacy @@ous @@ly
outlaugh	out @@laugh
depressionary	de @@press @@ion @@ary
editorialise	edit @@or @@ial @@ise
deinstall	de @@install
decomps	decomp @@s
velarisation	velum @@ar @@isation
countryfolk	country @@folk
Garrick	Garrick
republications	re @@public @@ation @@s
atextual	a @@text @@ual
intranasopharyngeal	intra @@naso @@pharynx @@al
character	character
exonerate	exonerate
calivers	caliver @@s
tabards	tabard @@s
tods	tod @@s
pericondensed	peri @@condense @@ed
magisteries	magistery @@s
korophile	koro @@phile
peching	pech @@ing
seannachies	seannachy @@s
bugologists	bug @@ology @@ist @@s
schistosomal	schisto @@some @@al
druggist	drug @@ist
macahuitl	macahuitl
itineraries	itinerary @@s
doorstop	door @@s @@top
rightsowners	right @@sown @@er @@s
chasms	chasm @@s
rambolted	rambolt @@ed
hoggier	hog @@y @@er
twinjets	twin @@jet @@s
nondepreciated	non @@depreciate @@ed
cyberwear	cyber @@wear
Casebeer	Casebeer
nonresidentiary	non @@residentiary
officially	office @@ial @@ly
epanorthosis	epanorthosis
microtomizing	micro @@tomy @@ize @@ing
keratophyte	kerato @@phyte
Chrimbo	Chrimbo
winterization	winter @@ization
savouriness	savour @@y @@ness
deconversions	de @@converse @@ion @@s
stalkumentaries	stalkument @@ary @@s
retro-colonial	retro @@colony @@al
weakest	weak @@est
electroresistances	electro @@resist @@ance @@s
pimolas	pimola @@s
scruffbag	scruff @@bag
inulas	inula @@s
Antinoan	Antinoan
dogsicle	dog @@sicle
lobstery	lop @@ster @@y
megaproducers	mega @@produce @@er @@s
concessioned	concession @@ed
Demosthenic	Demosthen @@ic
Shimazaki	Shimazaki
glebelands	glebe @@land @@s
mucocele	muco @@cele
cytopathologist	cyto @@pathology @@ist
sentics	sentic @@s
procrastinations	procrastination @@s
polyanionic	poly @@an @@ion @@ic
yogis	yogi @@s
self-evolution	self @@evolution
potchkies	potchky @@s
neurotensinoma	neuro @@tense @@in @@oma
soillessness	soil @@less @@ness
revoices	re @@voice @@s
desticker	de @@stick @@er
nonstrategic	non @@strategy @@ic
genderising	genderise @@ing
taverns	tavern @@s
cryptomaterials	cryptomaterial @@s
peitrels	peitrel @@s
apparatuses	apparatus @@s
mylodonts	mylodont @@s
outblotting	out @@blot @@ing
endomesodermally	endo @@meso @@derm @@al @@ly
orangish	orange @@ish
cartographically	cartography @@ic @@ally
peruques	peruque @@s
multirank	multi @@rank
pseudoliberation	pseudo @@liberate @@ion
historiettes	historiette @@s
rejoined	re @@join @@ed
asthenia	asthenia
Grozny	Grozny
summerise	sum @@er @@ise
schoolwoman	school @@woman
panth	panth
vowelized	vow @@el @@ize @@ed
micturates	micture @@ate @@s
quadridentate	quadri @@dentate
underpraise	under @@praise
amusette	amusette
pseudonymizations	pseudo @@onym @@ization @@s
halichondrids	halichondrid @@s
sploshings	sploshing @@s
cancerousness	cancer @@ous @@ness
desegregation	de @@segregate @@ion
smotherers	smother @@er @@s
photoconvert	photo @@convert
annul	annul
reglucosylating	re @@glucose @@yl @@ate @@ing
Zoellner	Zoellner
ctenizids	ctenizid @@s
encompasseth	en @@compass @@eth
secularizers	secular @@ize @@er @@s
overshop	over @@shop
arteriopunctures	arterio @@puncture @@s
undersamples	under @@sample @@s
overproliferates	over @@proliferate @@s
superexcitability	super @@excite @@ability
chemoautotroph	chemo @@auto @@troph
opiate	opium @@ate
registerability	register @@ability
soutache	soutache
sociopragmatically	socio @@pragmatic @@ally
browlift	brow @@lift
daydreamer	daydream @@er
conjugally	conjugal @@ly
Africanizes	Africa @@an @@ize @@s
subintimal	sub @@intimal
reflectingly	reflect @@ing @@ly
supermaterial	super @@material
teabaglike	teabag @@like
lumbagoed	lumbago @@ed
penthouses	pent @@house @@s
otoendoscope	oto @@endo @@scope
shelter	shelter
underreporting	under @@re @@port @@ing
chilacayote	chilacayote
dervillite	dervillite
darkslides	dark @@slide @@s
denarrativization	de @@narrate @@ive @@ization
inexpungible	in @@expunge @@ible
mundils	mundil @@s
warwickite	warwickite
oaks	oak @@s
nonstylistic	non @@style @@istic
deservant	deserve @@ant
monographies	mono @@graphy @@s
recultivates	re @@cultivate @@s
dickweeds	dick @@weed @@s
jogtrotting	jog @@trot @@ing
phenomenizing	phenomenize @@ing
Gogolian	Gogol @@ian
Susedgrad	Susedgrad
infectiously	infect @@ious @@ly
stipites	stipite @@s
ye	ye
dragonbone	dragon @@bone
yowes	yowe @@s
atriumed	atrium @@ed
retelevising	re @@televise @@ing
audibles	audible @@s
pleurenchyma	pleurenchyma
nanoindustry	nano @@industry
resuperimposed	re @@superimpose @@ed
bethroots	be @@throot @@s
outstupided	out @@stupide @@ed
preoperating	pre @@opera @@ate @@ing
assortedness	assort @@ed @@ness
plicatulids	plicatulid @@s
neurocomputations	neuro @@compute @@ation @@s
kudzued	kudzu @@ed
filfots	filfot @@s
lallates	lallate @@s
underapproximates	under @@approximate @@s
bedstocks	bed @@stock @@s
full-bosomed	full @@bosom @@ed
ibogaine	ibogaine
crystobalites	crystobalite @@s
rootzone	root @@zone
procrastinated	procrastinate @@ed
jaruls	jarul @@s
subcreations	sub @@create @@ion @@s
nanopits	nano @@pit @@s
rubicons	rubicon @@s
pristella	pristella
teending	teend @@ing
guiro	guiro
sideburns	side @@burn @@s
heterococcolithophore	hetero @@coccolithophore
nonimmutability	non @@immute @@ability
antiequality	anti @@equal @@ity
phthiocerols	phthio @@cerol @@s
neurofunctions	neuro @@function @@s
axed	ax @@ed
antientropic	anti @@entropy @@ic
securocrat	secure @@o @@crat
unmothering	un @@mother @@ing
neogastropod	neo @@gastropod
arteriectomy	arteria @@ectomy
flobbergrasts	flobbergrast @@s
stratosphere	strato @@sphere
cystectomies	cyst @@ectomy @@s
Countians	Countian @@s
polyrepeats	poly @@repeat @@s
indisputableness	in @@dispute @@able @@ness
jiffy	jiff @@y
nostalgias	nostalgia @@s
ICCDs	ICCD @@s
Arapahos	Arapaho @@s
therefore	there @@fore
snowlike	snow @@like
Pinay	Pinay
postracist	post @@race @@ist
desalinize	de @@saline @@ize
overprotect	over @@protect
fil	fil
heteropolyanions	hetero @@poly @@anion @@s
willowed	willow @@ed
Etruscologists	Etruscology @@ist @@s
faecality	faeces @@al @@ity
uncontradicted	un @@contradict @@ed
magickians	magickian @@s
nanobiocatalysts	nano @@bio @@catalyse @@t @@s
rummaged	rummage @@ed
blissed	bliss @@ed
unallured	un @@allure @@ed
furler	furl @@er
immanentism	immanent @@ism
chunnered	chunner @@ed
genotranscriptomic	geno @@transcript @@ome @@ic
despends	despend @@s
grinworthy	grin @@worthy
loture	loture
epitaphology	epitaph @@ology
nutritionalists	nutrition @@al @@ist @@s
farads	farad @@s
circulate	circulate
chronometrist	chrono @@metry @@ist
molybdomancy	molybdomancy
unstately	un @@state @@ly
dragomanic	dragoman @@ic
dethatcher	de @@thatch @@er
calphostins	calphostin @@s
Ossete	Ossete
soberer	sober @@er
sadhu	sadhu
tractioneer	traction @@eer
pamming	pam @@ing
sublibrarian	sub @@library @@an
preferrer	prefer @@er
Bentleys	Bentley @@s
protoactinium	proto @@actin @@ium
bizen	bize @@en
bunion	bunion
portscanned	port @@scan @@ed
wondrous	wondrous
lowping	lowp @@ing
nondefault	non @@default
egocentrists	ego @@centre @@ist @@s
methylsulfonates	methylsulfonate @@s
reinspect	re @@inspect
progranulin	pro @@granule @@in
cholesterinic	cholesterin @@ic
semimicrocuvettes	semi @@micro @@cuvette @@s
homosocial	homo @@social
bacterioplankton	bacterio @@plankton
extinguishable	extinguish @@able
cuestas	cuesta @@s
neuropores	neuro @@pore @@s
